set 30 20:12:28 daniela-VirtualBox kernel: CALYPSO_LOG: [937500] TOTAL BLOCKS
set 30 20:12:28 daniela-VirtualBox kernel: CALYPSO_LOG: [457895] TOTAL FREE BLOCKS
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [606403] PHYSICAL FIRST METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12157] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12158] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12159] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12160] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12161] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12162] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12163] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12164] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12165] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12166] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12167] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12168] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12169] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12170] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12171] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12172] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12173] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12174] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12175] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12176] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12177] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12178] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12179] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12180] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12181] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12182] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12183] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12184] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12185] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12186] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12187] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12188] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12189] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12190] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12191] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12192] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12193] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12194] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12195] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12196] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12197] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12198] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12199] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12200] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12201] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12202] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12203] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12204] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12205] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12206] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12207] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12208] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12209] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12210] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12211] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12212] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12213] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12214] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12215] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12216] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12217] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12218] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12219] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12220] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12221] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12222] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12223] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12224] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12225] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12226] PHYSICAL METADATA BLOCK
